分野,単語,英語,意味,
マネジメント系,FMS,Flexible Manufacturing System,NC工作機械、自動搬送装置、倉庫などを有機的に結合し、コンピューターで集中管理することで多品種少量生産に対応できる生産の自動化を実現するシステム,
マネジメント系,IDE,Integrated Development Environment,統合開発環境。エディタ、コンパイラ、デバッガなどプログラミングに必要なツールが一つに統合され、一つのインタフェースで扱えるようになっている開発環境,
マネジメント系,ISMS,Information Security Management System,"情報セキュリティマネジメントシステム
情報の機密性、完全性、可用性を適切に維持管理する体制を構築し、運用し、改善することを目的とする",
マネジメント系,ITIL,Information Technology Infrastructure Library,"ITサービスマネジメントに関する`ベストプラクティス`（成功事例）　を体系的にまとめたもの（ITサービスマネジメントの世界標準）

サービスサポート：青本
サービスデリバリ：赤本",
マネジメント系,JIT,Just In Time,ジャストタイム、トヨタ自動車の生産方式の代表的な要素で、必要な物を、必要なときに、必要な量だけ生産することを意味する。在庫の無駄をなくし生産を最適化する目的がある,
マネジメント系,KM,," `ナレッジマネジメント`
* 知識管理
* 企業が保持している情報や、社員が持っている`ノウハウや経験`を一元管理することで、`企業全体の問題解決力を高める`経営を目指す",
マネジメント系,LOC法,Lines of Code,"プログラムステップ法。
ソースプログラムの行数を基準に、アルゴリズムの複雑さを加味して、ソフトウェアの開発期間を見積もる",
マネジメント系,MA,,顧客獲得・維持のためのマーケティング活動をITシステムで自動化するための仕組み,
マネジメント系,MTBF,Mean Time Between Failures,システムの修理が完了し正常に稼働し始めてから、次回故障するまでの平均故障間隔を表す,
マネジメント系,MTTR,Mean Time To Repair,システムの故障を修理するために要した平均修復時間を表す,
マネジメント系,PMBOK,Project Management Body Of Knowledge,"プロジェクトマネジメントに関する知識を体系的にまとめたもの（プロジェクトマネジメントの世界標準）
`5つのプロセス`と`10個の知識エリア`で整理

`5つのプロセス`：
1. 立ち上げ
2. 計画（Plan）
3. 実行（Do）
4. 監視・コントロール（Check・Action）
5. 終結

`10個の知識エリア`：
* 統合管理
* スコープ管理
* スケジュール管理
* コスト管理
* 品質管理
* 資源管理
* コミュニケーション管理
* リスク管理
* 調達管理
* ステークホルダー管理",
